PH_NO,STATE,CITY,ROUND_TRIP
212-687-1909,CT,Stamford,N
203-879-6204,IN,Evansville,N
812-826-1268,VA,Sterling,Y
703-258-2263,TX,Abilene,Y
325-358-6659,CO,Colorado Springs,Y
719-537-6628,ME,Bangor,Y
207-441-6202,NY,New York,Y
212-291-9432,MT,Billings,Y
406-966-4362,NJ,Trenton,N
609-960-3394,PA,Wilkes Barre,N
570-389-2831,NJ,Jersey City,N
201-243-2555,TX,Waco,Y
254-576-7458,CA,Gardena,Y
310-452-6373,CA,Poway,Y
858-248-8341,AZ,Phoenix,Y
602-913-5696,PA,Sewickley,N
412-720-1305,NJ,Ridgefield,N
201-772-8761,AK,Anchorage,Y
907-240-2996,LA,Larose,Y
985-621-9795,FL,Saint Cloud,Y
407-859-9140,CA,Novato,Y
415-568-4874,CA,San Jose,Y
408-787-6960,NJ,Monmouth Junction,Y
732-671-4380,MS,Jackson,N
601-249-4547,CT,Bridgeport,N
203-312-4494,TX,Dallas,N
214-894-3643,NJ,Trenton,Y
609-223-4771,IN,Huntington,Y
260-311-5565,TX,Amarillo,Y
806-319-8743,NY,Lindenhurst,Y
631-709-5620,CA,Duarte,N
626-338-3193,IL,Chicago,N
312-601-9700,NY,Staten Island,Y
718-328-4849,GA,Atlanta,Y
770-345-7597,PA,Pittsburgh,Y
412-777-3727,WA,Lakewood,Y
253-322-9613,AR,Conway,Y
501-839-1072,CA,Santa Maria,Y
805-921-4837,FL,Miami,N
305-752-4859,MN,Minneapolis,N
612-930-1384,MI,Ann Arbor,N
734-782-6513,DC,Washington,Y
202-787-4062,NY,Garden City,Y
516-523-9428,MO,Saint Louis,Y
314-326-1843,MI,Lansing,Y
517-692-6185,OH,Apple Creek,N
330-787-2555,NC,Mount Airy,N
336-219-2294,GA,Albany,Y
229-794-6988,PA,Scranton,Y
570-900-8108,CO,Denver,Y
303-781-3781,PA,Wilkes Barre,Y
570-981-5159,OH,Piqua,Y
937-465-9250,IL,Niles,Y
847-696-8654,IL,Chicago,N
312-585-5510,UT,Salt Lake City,N
801-997-8728,LA,Harvey,N
504-337-4454,PA,Philadelphia,Y
215-752-8394,PA,Downingtown,Y
610-944-8469,CO,Denver,Y
303-523-4342,PA,Lancaster,Y
717-517-4802,AK,Anchorage,N
907-867-6889,AZ,Phoenix,N
602-385-9526,TX,Mission,Y
956-770-1958,OH,Toledo,Y
419-643-3167,NC,Raleigh,Y
919-358-3076,FL,Brooksville,Y
352-966-2913,WA,Bellevue,Y
425-626-3796,CA,Dublin,Y
925-400-1370,HI,Honolulu,N
808-420-2289,CA,Long Beach,N
562-735-8082,IL,Skokie,N
847-387-8424,NJ,Woodbridge,Y
732-204-5179,PA,Denver,Y
717-230-1602,FL,Miami,Y
305-756-7591,NY,Bronx,Y
718-741-7867,NJ,Union,N
908-241-5902,WA,Spokane,N
509-454-7859,CT,Norwalk,Y
203-535-8617,CA,Bellflower,Y
562-447-8428,CT,Brookfield,Y
203-256-8982,IL,Chicago,Y
312-203-5388,CT,Bridgeport,Y
203-623-7682,NJ,Oak Ridge,Y
973-339-2781,NJ,Hackensack,N
201-288-9714,NV,Sparks,N
775-891-2327,DC,Washington,N
202-827-9413,NY,Amityville,Y
631-324-1601,TX,Plano,Y
972-802-5479,IN,Granger,Y
574-871-5362,CA,Glendale,Y
818-215-6932,NJ,Secaucus,N
201-887-5241,CA,San Francisco,N
415-590-7243,TX,Plano,Y
972-850-3476,NY,Syracuse,Y
315-534-9000,CA,Santa Clara,Y
408-954-6731,NJ,Perth Amboy,Y
732-411-4524,FL,Jacksonville,Y
904-490-5751,CO,Monte Vista,Y
719-491-5227,MD,Aberdeen,N
410-672-6273,FL,Miami,N
305-540-9795,HI,Kailua Kona,N
808-758-6420,PA,Allentown,Y
610-376-6287,TX,Houston,Y
713-764-1470,ME,Bangor,Y
207-392-8719,UT,Salt Lake City,Y
801-912-5163,NY,New York,N
212-749-6451,GA,Atlanta,N
770-340-4591,TX,Amarillo,Y
806-576-5169,PA,Philadelphia,Y
215-320-1244,CO,Denver,Y
303-850-5622,MI,Kalamazoo,Y
269-952-4275,CA,Paramount,Y
562-746-7600,VT,Rutland,Y
802-946-5132,WI,Milwaukee,N
414-783-9471,NJ,Hammonton,N
609-724-2217,FL,Miami,N
305-573-8090,CA,Bellflower,Y
562-910-4873,NY,Ridgewood,Y
718-732-4038,OH,Cincinnati,Y
513-735-1885,MI,Livonia,Y
734-715-4436,CA,Sacramento,N
916-825-9613,MO,Maryland Heights,N
314-222-3452,CA,San Mateo,Y
650-780-7519,VT,Colchester,Y
802-927-7098,PA,Philadelphia,Y
215-533-7225,OH,Cleveland,Y
216-854-5864,CA,San Clemente,Y
949-933-5211,IA,Sergeant Bluff,Y
712-374-8151,MT,Kalispell,N
406-589-2317,CA,Monterey,N
831-654-8675,NJ,Mount Laurel,N
856-413-4744,NY,West Babylon,Y
631-551-9495,AZ,Phoenix,Y
602-409-7165,CA,Valencia,Y
661-486-7726,CA,Emeryville,Y
510-472-7020,CA,Azusa,N
626-415-8131,OH,Cleveland,N
216-679-9387,TN,Jackson,Y
731-926-4937,NJ,Clifton,Y
973-291-7948,DC,Washington,Y
202-435-7238,CA,Rancho Cordova,Y
916-326-8669,PA,Malvern,Y
610-350-4963,MI,Plymouth,Y
734-759-9787,NJ,Englewood,N
201-667-5821,WI,Madison,N
608-431-2725,CA,Palm Desert,N
760-503-2614,SC,Beaufort,Y
843-844-2690,MS,Biloxi,Y
228-856-3717,CA,Newport Beach,Y
949-411-9572,NJ,Princeton,Y
609-295-5374,SC,Greenville,N
864-202-4120,MO,Kansas City,N
816-374-8836,IN,Muncie,Y
765-365-4532,NJ,East Orange,Y
973-304-3782,MI,Flint,Y
810-311-5660,MO,Kansas City,Y
816-981-3752,CA,Palo Alto,Y
650-380-5222,MD,Waldorf,Y
301-712-4483,MA,Lynn,N
781-440-3571,CA,San Jose,N
408-568-1651,IA,Des Moines,N
515-256-6422,CA,Chico,Y
530-890-9053,NY,Brooklyn,Y
718-619-5522,MO,Saint Louis,Y
314-243-9953,NY,White Plains,Y
914-214-5599,FL,Melbourne,N
321-322-8722,OH,Mansfield,N
419-459-8372,NY,Bay Shore,Y
631-709-9564,NY,New York,Y
212-834-8942,OR,Portland,Y
503-894-1524,MA,Pembroke,Y
781-958-5734,CA,San Diego,Y
858-853-5703,CA,Chatsworth,Y
818-267-1533,NJ,Neptune,N
732-373-7506,CA,Beverly Hills,N
310-373-9935,NC,Mount Airy,N
336-646-2472,MO,Independence,Y
816-893-1521,NJ,Harrison,Y
973-319-1015,NY,Hauppauge,Y
631-591-3332,CT,Stamford,Y
203-701-1385,OH,Sylvania,N
419-497-2627,KY,Lexington,N
859-943-2629,NJ,Roseland,Y
973-594-5323,NY,Jamestown,Y
716-718-8389,TX,Abilene,Y
325-362-2574,NY,New York,Y
212-719-6595,CA,Fountain Valley,Y
714-393-3918,DC,Washington,Y
202-315-4430,CA,Encino,N
818-517-3636,OH,Cincinnati,N
513-380-5710,IN,Granger,N
574-482-8130,NY,Oceanside,Y
516-912-7309,PA,Fort Washington,Y
215-205-2403,CA,California City,Y
760-702-5874,NY,New Hyde Park,Y
516-633-1980,NJ,Palisades Park,N
201-310-4463,AZ,Phoenix,N
602-539-6575,OH,Findlay,Y
419-506-4028,TX,Abilene,Y
325-941-9627,CA,Montebello,Y
323-357-4323,MD,Baltimore,Y
410-693-9842,MN,Minnetonka,Y
952-815-1890,NJ,Westville,Y
856-854-9251,VA,Richmond,N
804-952-3328,NJ,Newark,N
973-535-5287,NJ,Newark,N
973-775-2977,NJ,Paterson,Y
973-653-1887,WI,Abbotsford,Y
715-470-9858,IL,Kankakee,Y
815-287-7815,NY,New York,Y
212-963-8384,PA,Canonsburg,N
724-395-2662,MD,Clinton,N
301-551-1143,CA,Los Angeles,Y
323-317-7840,CA,Los Angeles,Y
323-358-9158,TX,Fort Worth,Y
817-884-8518,AZ,Phoenix,Y
602-359-1709,NJ,Hackensack,Y
201-883-9826,FL,Miami,Y
305-761-7935,GA,Columbus,N
706-739-5445,KY,Prestonsburg,N
606-685-3946,NY,Brooklyn,N
718-932-1403,CA,Paramount,Y
562-878-3728,AZ,Phoenix,Y
602-951-3026,MT,East Helena,Y
406-903-3510,IL,Peoria,Y
309-749-8590,TX,Dallas,N
214-241-6524,CA,Santa Ana,N
714-243-3584,TX,Houston,Y
713-347-4951,NJ,Farmingdale,Y
732-838-4791,NM,Santa Fe,Y
505-248-2878,NJ,Newark,Y
973-804-3051,CA,Beverly Hills,Y
310-762-2101,ID,Pocatello,Y
208-983-7515,CA,Yuba City,N
530-468-8255,HI,Honolulu,N
808-218-5503,CA,Oakland,N
510-788-3464,NJ,Newark,Y
973-854-2264,CA,San Mateo,Y
650-399-4998,NJ,Linden,Y
908-627-3248,CA,San Francisco,Y
415-674-8517,NY,White Plains,N
914-717-3088,MD,Cockeysville,N
410-496-5104,FL,Miami,Y
305-213-4709,IN,Lafayette,Y
765-859-2372,TN,Memphis,Y
901-287-7722,PA,Philadelphia,Y
215-522-8230,MA,Worcester,Y
508-809-9269,PA,Philadelphia,Y
215-511-6761,NC,High Point,N
336-575-9740,OH,Girard,N
330-634-8933,IL,Hinsdale,N
630-311-6672,UT,Orem,Y
801-252-6787,CA,South Pasadena,Y
626-750-1166,IN,Bedford,Y
812-435-4744,IN,Huntington,Y
260-280-9202,IL,Chicago,N
773-521-1332,CT,Greenwich,N
203-484-2976,AZ,Mesa,Y
480-509-5789,NY,New York,Y
212-338-2503,NJ,Livingston,Y
973-482-9359,MI,Ann Arbor,Y
734-620-6080,GA,Roswell,Y
770-259-5761,MA,East Longmeadow,Y
413-905-8604,MD,Gaithersburg,N
301-943-8724,OH,Toledo,N
419-790-2267,NY,Wellsville,N
585-906-7251,ME,Portland,Y
207-765-2367,MI,Flint,Y
810-734-5285,WI,Superior,Y
715-433-9529,TX,Laredo,Y
956-777-6937,CA,San Rafael,N
415-852-5434,PA,Williamsport,N
570-803-6925,NJ,Edison,Y
732-955-1258,NJ,Nutley,Y
973-811-8828,FL,Orlando,Y
407-255-4072,CA,Canoga Park,Y
818-450-3529,OH,Cleveland,Y
216-352-8013,GA,Atlanta,Y
770-715-9071,TX,Corpus Christi,N
361-243-1616,CA,Berkeley,N
510-719-7921,WA,Seattle,N
206-903-6052,MO,Kansas City,Y
816-508-5691,CA,Fresno,Y
559-933-1459,NJ,Dover,Y
973-831-9458,TX,Irving,Y
972-995-5813,NJ,Brick,N
732-649-3859,NY,Albion,N
585-850-2964,NJ,Riverdale,Y
973-995-3801,PA,Langhorne,Y
215-291-7762,OR,Portland,Y
503-664-2446,OH,Wooster,Y
330-261-2760,NC,Chapel Hill,Y
919-458-1570,OK,Norman,Y
405-669-1157,FL,Opa Locka,N
305-940-5237,PA,Downingtown,N
610-858-9817,TX,San Antonio,N
210-638-2588,NJ,East Orange,Y
973-283-9771,NY,Hauppauge,Y
631-237-7586,MI,Southfield,Y
248-353-1649,OK,Tulsa,Y
918-786-1956,CA,Cerritos,N
562-267-6136,MA,Middleboro,N
508-390-6921,CA,Oakland,Y
510-293-6879,PA,Richboro,Y
215-340-8107,MA,Everett,Y
617-748-8700,CA,Concord,Y
925-611-8487,FL,Brooksville,Y
352-455-1321,CT,Wallingford,Y
203-655-8825,MA,North Andover,N
978-786-4177,MI,Carleton,N
734-341-9333,IN,Indianapolis,N
317-707-5442,NJ,Harrison,Y
973-695-5344,NJ,Livingston,Y
973-717-3447,NH,Nashua,Y
603-437-6573,IN,Bedford,Y
812-249-9453,IL,Chicago,N
773-584-1082,NJ,Plainfield,N
908-936-6944,TX,Houston,Y
713-656-4117,OH,Akron,Y
330-468-3852,OH,Cincinnati,Y
513-778-8279,NY,Farmingdale,Y
516-734-1729,CO,Denver,Y
303-507-9981,WI,Sheboygan,Y
920-779-8890,TX,Tyler,N
903-500-6662,OH,Toledo,N
419-918-6915,PA,Chester,N
610-275-8659,CA,Los Angeles,Y
323-300-4360,CA,Los Angeles,Y
213-212-1752,NY,Bronx,Y
718-646-3688,NY,Syracuse,Y
315-310-8580,ID,Meridian,N
208-399-6815,NJ,Berlin,N
856-624-5266,IA,Cedar Rapids,Y
319-499-7677,NJ,Glen Rock,Y
201-527-9176,PA,Fort Washington,Y
215-726-7608,CT,Stamford,Y
203-782-7089,NY,Brooklyn,Y
718-358-1872,NJ,Flanders,Y
973-384-2534,NC,Greensboro,N
336-430-6346,NV,Las Vegas,N
702-962-4831,WA,Yakima,N
509-308-6766,AR,Benton,Y
501-414-7171,NY,New York,Y
212-737-9603,NJ,Cherry Hill,Y
856-650-7937,NJ,Port Reading,Y
732-930-1022,NJ,Garfield,N
973-610-9001,NJ,Marmora,N
609-469-4808,NY,Albany,Y
518-453-2036,CA,Oakland,Y
510-320-6810,NY,New York,Y
212-912-4311,CA,Anaheim,Y
714-592-1811,DC,Washington,Y
202-448-1544,NY,Bronx,Y
718-213-9602,WA,Vashon,N
206-297-8435,NJ,Hackensack,N
201-617-4739,CO,Colorado Springs,N
719-807-8179,NJ,Edison,Y
732-872-9438,TX,Dallas,Y
214-885-3946,FL,Orlando,Y
407-967-7893,TX,Austin,Y
512-238-5556,NY,Brooklyn,N
718-901-7981,CT,Norwalk,N
203-618-8024,CO,Colorado Springs,Y
719-507-8513,NY,Purchase,Y
914-523-8702,DE,Newark,Y
302-771-4861,CA,Santa Clara,Y
408-399-4824,MI,Grand Haven,Y
616-333-5703,MO,Joplin,Y
417-269-4234,RI,Providence,N
401-899-7698,NY,Pelham,N
914-451-9584,TX,Marshall,N
903-798-4052,MI,Troy,Y
248-248-1101,CA,Pittsburg,Y
925-884-4405,AZ,Phoenix,Y
602-862-1999,CA,Modesto,Y
209-814-2337,HI,Aiea,N
808-407-8209,AK,Anchorage,N
907-992-9748,PA,Erie,Y
814-842-9647,OH,Toledo,Y
419-745-3900,GA,Atlanta,Y
770-609-8727,NY,Staten Island,Y
718-290-8830,NJ,Pittstown,Y
908-510-5530,MN,Minneapolis,Y
763-526-2407,CA,Los Angeles,N
323-765-7980,NV,Las Vegas,N
702-464-9750,AZ,Phoenix,N
602-620-3913,NY,Astoria,Y
718-601-9393,PA,Aston,Y
610-754-1436,MI,East Lansing,Y
517-213-6003,FL,Miami,Y
305-767-8480,CO,Denver,N
303-533-2377,UT,Salt Lake City,N
801-738-3078,NJ,Clifton,Y
973-225-6015,MA,Whitinsville,Y
508-600-2554,PA,Wallingford,Y
610-518-9409,MT,East Helena,Y
406-928-1693,NY,New York,Y
212-947-2802,IL,Bloomington,Y
309-829-1674,IN,Indianapolis,N
317-734-3840,MA,Cambridge,N
617-294-1835,TN,Old Hickory,N
615-749-9332,CA,Fremont,Y
510-429-5469,NY,New York,Y
212-375-9206,NJ,Trenton,Y
609-493-4316,PA,Philadelphia,Y
215-522-1030,MI,Southfield,N
248-290-4761,TX,Pittsburg,N
903-707-2189,MD,Bethesda,Y
301-379-3611,IN,Schererville,Y
219-981-8800,OH,Solon,Y
440-677-8653,PA,Philadelphia,Y
215-765-6803,MN,Minneapolis,Y
612-544-6547,CA,San Diego,Y
858-735-6907,PA,Easton,N
610-673-6255,LA,Lafayette,N
337-363-9871,MO,Willard,N
417-521-1406,PA,Bethlehem,Y
610-511-3447,MS,Greenwood,Y
662-538-8833,PA,Philadelphia,Y
215-463-4750,TX,San Antonio,Y
210-459-6011,PA,Pittsburgh,N
412-987-7887,IL,Woodstock,N
815-823-1438,WI,Abbotsford,Y
715-453-1676,MI,Taylor,Y
313-632-9580,CA,Anaheim,Y
714-485-9533,MA,Manchester,Y
978-773-1715,CO,Evergreen,Y
303-734-4222,MN,Minneapolis,Y
612-518-9678,OH,Cincinnati,N
513-680-7198,NJ,Piscataway,N
732-584-4625,OH,Streetsboro,N
330-758-6399,ME,Bangor,Y
207-857-2116,CA,Santa Ana,Y
714-493-1811,NJ,Williamstown,Y
856-905-1578,OH,Monroeville,Y
419-227-5381,NY,Elmhurst,N
718-360-3714,CA,Camarillo,N
805-323-1558,TX,Dallas,Y
214-629-6765,NJ,Linden,Y
908-906-4266,AR,Fort Smith,Y
479-678-8577,WI,Madison,Y
608-698-7012,PA,Allentown,Y
610-493-1393,NY,Watertown,Y
315-201-4204,MI,Warren,N
586-502-5936,MI,Madison Heights,N
248-489-6396,CA,El Centro,N
760-659-1543,CA,Buena Park,Y
714-628-7940,NY,Wantagh,Y
516-497-9775,MN,Minneapolis,Y
763-740-1791,DC,Washington,Y
202-658-3180,NM,Farmington,N
505-263-7587,AZ,Phoenix,N
602-279-9273,OR,Portland,Y
503-514-5964,CA,Los Angeles,Y
323-294-4801,FL,Tallahassee,Y
850-241-3074,MT,Lewistown,Y
406-523-3524,MN,Minneapolis,Y
952-596-8209,NY,Bronx,Y
718-948-5447,AZ,Phoenix,N
602-527-3564,FL,Jacksonville,N
904-831-6444,OH,Sylvania,N
419-406-8780,HI,Aiea,Y
808-709-1908,IL,Chicago,Y
773-677-1379,GA,Decatur,Y
404-593-1566,NJ,Freehold,Y
732-487-7461,AK,Anchorage,N
907-750-2117,NJ,North Brunswick,N
732-950-3166,NY,New York,Y
212-982-5691,AZ,Phoenix,Y
602-950-4873,AR,Little Rock,Y
501-208-7696,MD,Berlin,Y
410-969-8385,CA,Woodland Hills,Y
818-764-5642,NY,Rochester,Y
585-675-5676,WY,Cheyenne,N
307-201-2165,CA,Davis,N
530-497-9406,NY,New York,N
212-805-4394,CA,Oroville,Y
530-363-1282,NY,New York,Y
212-550-9422,NY,Bronx,Y
718-806-9114,CT,Stamford,Y
203-548-9606,SC,Columbia,N
803-498-5620,GA,Atlanta,N
404-810-4138,CA,Downey,Y
562-978-4863,NM,Albuquerque,Y
505-633-2115,IL,Chicago,Y
773-382-2005,MO,Florissant,Y
314-283-7625,NJ,Perth Amboy,Y
732-652-1283,FL,Miami,Y
305-771-4708,NY,New York,N
212-323-4624,MI,Grand Rapids,N
616-985-7485,NJ,Union,N
908-360-7743,IN,Indianapolis,Y
317-259-9145,OH,Cleveland,Y
216-281-5677,IL,Chicago,Y
312-725-7426,MA,Brighton,Y
617-837-8424,TX,Houston,N
281-701-6298,OH,Toledo,N
419-493-8275,IN,Bloomington,Y
812-653-7288,CA,Anaheim,Y
714-916-2144,NC,Thomasville,Y
336-751-2731,PA,Philadelphia,Y
215-439-8470,NY,New York,Y
212-837-1427,VA,Richmond,Y
804-910-5898,VA,Richmond,N
804-253-1520,IL,Wheeling,N
847-448-8739,MO,High Ridge,N
636-758-6595,CA,Riverside,Y
951-745-5497,VA,Hopewell,Y
804-442-7597,MI,Southfield,Y
248-802-6461,MS,Jackson,Y
601-773-3929,IL,Greenville,N
618-884-9046,PA,Philadelphia,N
215-549-1078,TX,Beaumont,Y
409-204-6967,TX,Houston,Y
713-292-9607,NJ,Califon,Y
908-707-8878,OH,Cincinnati,Y
513-238-8329,WA,Tacoma,Y
253-650-7164,LA,Lafayette,Y
337-793-6477,TX,Anthony,N
915-298-6253,IL,Melrose Park,N
708-581-4950,NJ,Clifton,N
973-250-3059,MI,Lansing,Y
517-659-9929,NY,New York,Y
212-217-8718,CA,Rancho Cordova,Y
916-906-3604,ID,Boise,Y
208-413-6250,TX,Corpus Christi,N
361-454-4976,CA,Artesia,N
562-839-5553,CA,Burlingame,Y
650-479-4512,NY,Great Neck,Y
516-975-5300,NJ,Berlin,Y
856-612-4048,OR,Portland,Y
503-655-5065,NY,Middle Island,Y
631-287-9469,TN,Memphis,Y
901-212-1913,CA,Temecula,N
951-948-7153,MI,Three Rivers,N
269-740-3040,IL,Gilberts,N
847-447-2454,TX,Houston,Y
713-960-5401,TX,El Paso,Y
915-281-6619,DC,Washington,Y
202-907-5167,FL,Tampa,Y
813-515-3894,MD,Lutherville Timonium,N
410-413-3535,NV,Sparks,N
775-396-9650,NY,New York,Y
212-587-2635,CA,Torrance,Y
310-883-6647,NY,Staten Island,Y
718-372-8668,NY,Rochester,Y
585-605-1079,NY,New York,Y
212-461-1630,CA,Westminster,Y
714-764-1587,NY,Hauppauge,N
631-561-7339,OH,Strongsville,N
440-678-7542,IL,Palatine,N
847-322-3541,PA,Horsham,Y
215-678-3861,TX,Houston,Y
713-206-8205,TX,Euless,Y
817-891-2448,OR,Clackamas,Y
503-432-7057,NJ,Trenton,N
609-669-1368,MI,Davison,N
810-506-2744,DC,Washington,Y
202-691-4767,TX,Killeen,Y
254-613-4148,PA,Wayne,Y
610-589-7701,CO,Monte Vista,Y
719-969-1707,CA,Stockton,Y
209-865-1538,PA,Clarks Summit,Y
570-623-7668,NY,Scarsdale,N
914-906-4843,CA,Campbell,N
408-928-2943,PA,Columbia,N
717-431-7014,IL,Chicago,Y
312-259-5074,IL,Chicago,Y
773-615-2188,NY,Brooklyn,Y
718-932-7704,TN,Jackson,Y
731-944-4266,TX,Amarillo,N
806-598-5355,WA,Yakima,N
509-727-6251,TN,Memphis,Y
901-304-4506,CA,Norwalk,Y
562-373-5875,NY,Jamaica,Y
718-775-4083,WI,Baraboo,Y
608-482-4239,PA,Philadelphia,Y
215-436-6199,HI,Honolulu,Y
808-827-9168,CA,Bakersfield,N
661-649-6086,NJ,Princeton,N
609-852-9841,NJ,Paterson,N
973-346-2941,MT,Miles City,Y
406-792-2896,WV,Clarksburg,Y
304-816-7588,PA,Bensalem,Y
215-699-9805,IL,Peoria,Y
309-827-7638,NJ,Asbury Park,N
732-327-6365,MA,Abington,N
781-508-2229,KS,Abilene,Y
785-566-5300,TX,San Antonio,Y
210-449-8379,NJ,Freehold,Y
732-311-5164,PA,York,Y
717-987-7880,OH,Ashtabula,Y
440-594-1699,OH,Girard,Y
330-414-1439,GA,Brunswick,N
912-854-7231,PA,Bloomsburg,N
570-366-2394,MD,Preston,N
410-639-9419,MT,Butte,Y
406-638-8690,PA,Feasterville Trevose,Y
215-826-7489,VA,Alexandria,Y
703-519-7751,CA,Pomona,Y
909-909-9827,NJ,Richland,N
609-465-3565,WI,Milwaukee,N
414-358-5927,CA,Santa Monica,Y
310-395-1521,NJ,Bridgewater,Y
908-546-1828,NJ,New Milford,Y
201-913-4290,PA,Mechanicsburg,Y
717-924-8876,OH,Toledo,Y
419-610-7107,MN,Minneapolis,Y
612-358-1362,HI,Hilo,N
808-581-2456,TX,Bryan,N
979-791-9383,AZ,Phoenix,N
602-280-5347,CA,Stockton,Y
209-316-3243,IL,Glenview,Y
847-324-6392,PA,Pittsburgh,Y
412-631-3485,NJ,Skillman,Y
609-456-4215,NJ,Hackensack,N
201-544-4429,GA,La Fayette,N
706-827-4244,NJ,Ramsey,Y
201-787-5178,IL,Lisle,Y
630-738-8091,CA,Hayward,Y
510-836-1408,IN,Fort Wayne,Y
260-933-3917,NY,New Hyde Park,Y
516-588-2160,PA,Easton,Y
610-972-7841,GA,Warner Robins,N
478-575-2606,OH,Akron,N
330-782-5081,NJ,Woodbridge,N
732-843-7891,NJ,Clifton,Y
973-745-8610,NY,Buffalo,Y
716-390-8421,TX,Wichita Falls,Y
940-962-8946,FL,Miami,Y
305-942-1278,RI,Warwick,N
401-574-1927,TX,Grapevine,N
817-238-9835,NH,Manchester,Y
603-999-8588,VA,White Marsh,Y
804-754-1320,TX,El Paso,Y
915-646-4532,NJ,East Orange,Y
973-452-7103,NJ,Flemington,Y
908-951-7830,CA,Los Angeles,Y
310-885-8569,MN,Minneapolis,N
612-974-5344,CA,Santa Barbara,N
805-245-4388,OH,Columbus,N
614-471-1282,NJ,Jersey City,Y
201-581-9154,NJ,Rahway,Y
732-772-3900,NJ,Northfield,Y
609-618-7886,TN,Memphis,Y
901-997-6984,OH,Cincinnati,N
513-320-4836,NJ,High Bridge,N
908-797-7948,MS,Aberdeen,Y
662-275-3943,IL,Forest Park,Y
708-884-3138,MA,Worcester,Y
508-935-4288,NJ,Hoboken,Y
201-642-8095,PA,Wallingford,Y
610-626-5607,TX,Houston,Y
713-897-6436,ME,South Portland,N
207-977-1441,PA,Camp Hill,N
717-426-2661,IL,Chicago,N
773-665-1070,PA,Ambler,Y
215-271-5204,WA,Goldendale,Y
509-458-8587,MI,West Bloomfield,Y
248-432-8696,IN,Lafayette,Y
765-909-6653,PA,Erie,N
814-365-2505,VT,Bennington,N
802-709-6114,NJ,Iselin,Y
732-733-2530,OH,Barberton,Y
330-603-3633,FL,Miami,Y
305-822-9581,NJ,Thorofare,Y
856-875-4555,NJ,Palisades Park,Y
201-785-2605,NJ,Jersey City,Y
201-855-3294,MO,Saint Louis,N
314-684-3073,PA,Pittsburgh,N
412-496-5564,MO,Willard,N
417-287-3973,GA,Atlanta,Y
404-890-6893,LA,Lafayette,Y
337-352-2402,CA,Laguna Beach,Y
949-815-1590,LA,Lafayette,Y
337-724-1890,CA,Stockton,N
209-830-5063,NJ,Orange,N
973-493-1115,TN,Nashville,Y
615-397-9984,TX,Dallas,Y
214-459-9390,AK,Anchorage,Y
907-845-7549,CA,Ontario,Y
909-751-3924,CA,Santa Barbara,Y
805-551-8680,MN,Bemidji,Y
218-442-2077,CA,Campbell,N
408-622-4119,MI,Pinckney,N
734-326-1603,AZ,Mesa,N
480-839-9735,PA,Schwenksville,Y
610-261-9143,CA,Palo Alto,Y
650-990-2063,NJ,Lakewood,Y
732-240-3877,MD,Lusby,Y
410-805-6257,MD,Towson,N
410-614-8075,OH,Columbus,N
614-928-9634,NJ,South Plainfield,Y
908-270-3660,NY,Endicott,Y
607-697-5012,PA,Philadelphia,Y
215-976-2349,FL,Tarpon Springs,Y
727-630-9622,AK,Fairbanks,Y
907-694-2556,PA,Scranton,Y
570-819-7813,TX,Laredo,N
956-940-4397,CO,Denver,N
303-526-1760,KS,Shawnee,N
913-925-8586,HI,Honolulu,Y
808-454-8873,CO,Denver,Y
303-790-5199,MI,Rockford,Y
616-432-3730,CA,Sacramento,Y
916-291-3404,OH,Burton,N
440-648-9190,IL,Des Plaines,N
847-852-3482,NY,Westbury,Y
516-362-4773,VA,Fairfax,Y
703-463-1069,OH,Dayton,Y
937-440-3863,NY,New York,Y
212-810-6238,GA,Atlanta,Y
404-394-3712,OH,Akron,Y
330-220-7283,CA,Fremont,N
510-443-8381,NJ,Grenloch,N
856-418-6613,MO,Saint Louis,N
314-962-8084,CA,San Jose,Y
408-451-1715,CA,San Carlos,Y
650-736-8721,CA,Los Angeles,Y
323-682-7979,CA,Los Angeles,Y
323-609-2788,AZ,Phoenix,N
602-762-3879,TX,Austin,N
512-409-6290,CA,Modesto,Y
209-452-3841,NJ,Deptford,Y
856-741-6892,CA,Rocklin,Y
916-531-9083,PA,Easton,Y
610-590-4192,MO,Saint Louis,Y
314-622-9150,NH,Berlin,Y
603-543-4213,NJ,Runnemede,N
856-861-1638,NJ,Jersey City,N
201-637-2246,VA,Annandale,N
703-866-9797,OH,Cleveland,Y
440-904-9197,NJ,Bloomfield,Y
973-694-9326,OH,Cincinnati,Y
513-797-2359,MD,Mechanicsville,Y
301-899-3256,CA,San Diego,N
858-823-7969,CA,Anaheim,N
714-372-9407,TX,Houston,Y
281-698-5825,NY,Goshen,Y
845-303-5383,MO,Columbia,Y
573-378-4420,MI,Madison Heights,Y
248-896-3043,TX,Irving,Y
972-220-8818,NY,New York,Y
212-475-9920,MO,Saint Louis,N
314-296-4842,NY,New York,N
212-767-5750,CA,Downey,N
562-483-5376,NY,Lancaster,Y
716-932-2784,CA,Los Angeles,Y
213-494-8263,TX,Waco,Y
254-484-1572,NJ,Elizabeth,Y
908-211-2033,MI,Kalamazoo,N
269-918-6706,HI,Honolulu,N
808-748-6182,PA,Carnegie,Y
412-272-7585,TX,Corpus Christi,Y
361-421-1108,CA,Pittsburg,Y
925-574-8918,CT,Stamford,Y
203-283-5454,NY,New York,Y
212-436-3966,FL,Orlando,Y
